Word;Description
retrograde;:having or being motion in a direction contrary to that of the general motion of similar bodies and especially east to west among the stars
seclusion;:the act ofsecluding:the condition of beingsecluded
persecution;:the act or practice ofpersecutingespecially those who differ in origin, religion, or social outlook
bereft;:deprivedor robbed of the possession or use of something
repent;:to turn from sin and dedicate oneself to the amendment of one's life
indenture;:a document or a section of a document that isindented
aspersion;:a false or misleading charge meant to harm someone's reputation
deviation?;:an act or instance ofdeviating: such as
vitriol;:bitterly harsh or caustic language or criticism
iconoclasm;:the doctrine, practice, or attitude of aniconoclast
divesting;:to deprive or dispossess especially of property, authority, or title
compunction;:anxiety arising from awareness of guilt
naysayer;:one who denies, refuses, opposes, or is skeptical or cynical about something
instigator;:to goad or urge forward:provoke
impasse;:apredicamentaffordingno obvious escape
resounding;:producing or characterized byresonantsound:resonating
stigmatization;:to describe or regard (something, such as a characteristic or group of people) in a way that shows strong disapproval
squint;:looking or tending to look obliquely or askance (as with envy or disdain)
doxxed;:to publicly identify or publish private information about (someone) especially as a form of punishment or revenge
disenfranchising;:todepriveof afranchise, of a legal right, or of some privilege or immunity
contends;:to strive or vie incontestor rivalry or against difficulties:struggle
profiteering;:the act or activity of making an unreasonableprofiton the sale of essential goods especially during times of emergency
prattle;:prate
chirp;:to make achirpor a sound resembling a chirp
quicksand;:sand readily yielding to pressure
contemplated;:to view or consider withcontinuedattention:meditate on
curbing;:the material for a curb
straying;:a domestic animal that is wandering at large or is lost
subverts;:to overturn or overthrow from the foundation:ruin
err;:to make a mistake
hapless;:having no luck:unfortunate
undermines;:to subvert or weaken insidiously or secretly
ambivalent;:having or showing simultaneous and contradictory attitudes or feelings toward something or someone:characterized byambivalence
obstinately;:stubbornlyadheringto an opinion, purpose, or course in spite of reason, arguments, or persuasion
spade;:a digging implement adapted for being pushed into the ground with the foot
assortative;:being nonrandom mating based on like or unlike characteristics
assortive;
soiling;:to stain or defile morally:corrupt
demeanor;:behavior toward others:outwardmanner
congregation;:an assembly of persons:gathering
belay;:to secure (a rope or cable) by turns around a cleat (seecleatentry1sense 1b), pin, orbitt
insatiable;:incapable of being satisfied:quenchless
unused;:not habituated:unaccustomed
identifiable;:capable of beingidentified
boasting;:a statement expressing excessive pride in oneself:the act or an instance of boasting (seeboastentry2):brag
muster.;:a representative specimen (seespecimensense 1):sample
frailty;:the quality or state of beingfrail
substantively;:having substance:involving matters of major orpracticalimportance to all concerned
defy;:to confront with assured power of resistance:disregard
lot;:an object used as a counter in determining a question by chancesee alsothrow in one's lot with
subservience;:asubservientor subordinate place or function
contention;:a point advanced or maintained in a debate or argument
exasperated;:having or showing strong feelings of irritation or annoyance
untenable;:not able to bedefended
proclivities;:an inclination or predisposition toward something
legitimacy;:the quality or state of beinglegitimate
dissect;:to separate into pieces:expose the several parts of (something, such as an animal) for scientific examination
impenetrability;:the quality or state of beingimpenetrable
willful;:obstinately and often perversely self-willed
propels;:to drive forward or onward by or as if by means of a force that imparts motion
debilitation;:to impair the strength of:enfeeble
coo;:to make the low soft cry of a dove or pigeon or a similar sound
epistemological;:of, relating to, or based onepistemology:relating to the study of the nature, origin, and limits of human knowledge
nail;:a horny sheath protecting the upper end of each finger and toe of humans and most other primates
tandem;:tandem bicycle
specificity;:the quality or condition of beingspecific: such as
countermand;:to revoke (a command) by a contrary order
symbiosis;:the living together in more or less intimate association or close union of two dissimilar organisms (as in parasitism or commensalism)
modality;:the quality or state of beingmodal
palpable;:capable of being touched or felt:tangible
restraint;:an act ofrestraining:the state of beingrestrained
inferior;:of little or less importance, value, ormerit
redress;:to set right:remedy
vengeful;:revengeful: such as
respite;:a period of temporary delay
defective;:having a defect or flaw:imperfect in form, structure, or function
propriety;:the quality or state of beingproperor suitable:appropriateness
apportion;:to divide and share out according to a plan
zealousness;:marked by fervent partisanship for a person, a cause, or an ideal:filled with or characterized byzeal
sentiment;:an attitude, thought, or judgment prompted by feeling:predilection
persecute;:to harass or punish in a manner designed to injure, grieve, or afflict
immolate;:to kill or destroy especially by fire
pliable;:supple enough to bend freely or repeatedly without breaking
reflex;:reflected heat, light, or color
iteration;:version,incarnation
conciliatory;:intended to gain goodwill or favor or to reduce hostility:tending or intended toconciliate
deferring;:put off,delay
obfuscation;:to throw into shadow:darken
preemption;:the right of purchasing before others
replete;:fully or abundantly provided or filled
rail;:a bar extending from one post or support to another and serving as a guard or barrier
balk;:to refuse abruptly
semblance;:outward and often specious appearance or show:form
infanticide;:the killing of aninfant
affiliations;:the state or relation of being closely associated oraffiliatedwith a particular person, group, party, company, etc.
enterprises;:a project or undertaking that is especially difficult, complicated, or risky
glaring;:having a fixed look of hostility, fierceness, or anger
implicit;:capable of being understood from something else though unexpressed:implied
decry;:todepreciate(something, such as a coin) officially or publicly
succinctly;:marked by compact precise expression without wasted words
sober;:notintoxicated
antithetical;:being in direct andunequivocalopposition:directly opposite or opposed
confides;:to haveconfidence:trust
belie;:to give a false impression of
prognosticate;:to foretell from signs or symptoms:predict
dicey;:risky,unpredictable
vicissitudes;:the quality or state of being changeable:mutability
customizable;:to build, fit, or alter according to individual specifications
disowned;:to refuse to acknowledge as one's own
disparate;:markedlydistinctin quality or character
ubiquitous;:existing or being everywhere at the same time:constantlyencountered:widespread
fomenting;:to promote the growth or development of:rouse,incite
consolidation;:the act or process ofconsolidating:the state of beingconsolidated
laud;:praise,extol
triumphant;:victorious,conquering
missives;:a written communication:letter
regressing;:an act or the privilege of going or coming back
infighting;:prolonged and often bitter dissension or rivalry among members of a group or organization
aberrant;:deviatingfrom the usual or natural type:atypical,abnormal
adherence;:the act, action, or quality ofadhering
dubiously;:unsettled in opinion:doubtful
abet;:to actively second and encourage (something, such as an activity or plan)
epitomizes;:to serve as the typical or ideal example of
egregious;:conspicuous
punctuate;:to mark or divide (written matter) withpunctuationmarks
chastity;:the quality or state of beingchaste: such as
posited;:to dispose or set firmly:fix
shun;:to avoid deliberately and especially habitually
canonical;:of, relating to, or forming acanon
Humility;:freedom from pride or arrogance:the quality or state of beinghumble
relegated;:to send into exile:banish
pedantic;:of, relating to, or being apedant
unimpeded;:not slowed, blocked, or interfered with:notimpeded
incentivize;:to provide with anincentive
extricate;:to free or remove from an entanglement or difficulty
compartmentalization;:to separate into isolatedcompartmentsor categories
quelling;:to thoroughly overwhelm and reduce to submission or passivity
embroil;:to throw into disorder or confusion
stunted;:to hinder the normal growth, development, or progress of
compulsion;:an act ofcompelling
insurmountable;:incapable of being surmounted:insuperable
construct;:to make or form by combining or arranging parts or elements:build
discrete;:constituting a separate entity:individuallydistinct
gleefully;:full of glee:merry
triumphalism;:an attitude or feeling of victory or superiority: such as
galling;:markedly irritating:vexing
adamant;:unshakable orinsistentespecially in maintaining a position or opinion:unyielding
dissertation;:an extended usually written treatment of a subject
Estrus;:a regularly recurrent state of sexual receptivity during which the female of most mammals will accept the male and is capable of conceiving:heat
insulate;:to place in a detached situation:isolate
hobbled;:to move along unsteadily or with difficulty
espoused;:marry
faculty;:ability,power: such as
lambaste;:to assault violently:beat,whip
attest;:to affirm to be true or genuine
expounding;:to set forth:state
scoff;:an expression of scorn, derision, or contempt:gibe
combustion;:an act or instance of burning
aphrodisiac;:an agent (such as a food or drug) that arouses or is held to arouse sexual desire
dispense;:to divide and share out according to a plan:to deal out in portions
ingratiating;:intended or adopted in order to gain favor:flattering
vigilant;:alertly watchful especially to avoid danger
sparing;:marked by or practicing careful restraint (as in the use of resources)
supplicate;:to make a humble entreaty
debunk;:to expose the sham (seeshamentry1sense 2) or falseness of
dispensations;:a general state or ordering of things
inculcate;:to teach and impress by frequent repetitions or admonitions
tacit;:expressed or carried on without words or speech
prominently;:standing out or projecting beyond a surface or line:protuberant
brutish;:resembling, befitting, or typical of abruteor beast
demean;:to lower in character, status, or reputation
grates;:gratingsense 2
celibate;:of, relating to, or characterized bycelibacy:
revolt;:to renounce allegiance or subjection (as to a government):rebel
pervasively;:existing in or spreading through every part of something
renounce;:to give up, refuse, or resign usually by formal declaration
weave;:to form (cloth) by interlacing strands (as of yarn)
tense;:stretched tight:made taut:rigid
gauge;:a measurement (as of linear dimension) according to some standard or system: such as
bypass;:a passage to one side
triagé;:the sorting of and allocation of treatment to patients and especially battle and disaster victims according to a system of priorities designed to maximize the number of survivors
allegory;:the expression by means ofsymbolicfictional figures and actions of truths or generalizations about human existence
bullpen;:a large cell where prisoners are detained until brought into court
preconstructed;:constructedbefore purchase or use
faction;:a party or group (as within a government) that is often contentious or self-seeking:clique
confer;:to compare views or take counsel:consult
parcel;:a tract or plot of land
encapsulate;:to enclose in or as if in a capsule
prick;:a mark or shallow hole made by a pointed instrument
contralateral;:occurring on or acting in conjunction with a part on the opposite side of the body
luteinizing;:the process of formingcorpora lutea
eumenorrheic;
tarnish;:to dull or destroy the luster of by or as if by air, dust, or dirt:soil,stain
refeed;:the periodic controlled intake of excess calories usually in the form of carbohydrates typically to improve weight loss during dieting
stationary;:fixed in astation, course, or mode:immobile
encephalopathy;:a disease of the brain
hyperalert;:extremely or excessivelyalert
abrasion;:a wearing, grinding, or rubbing away by friction
scabs;:scabiesof domestic animals
bereaved;:suffering the death of a loved one
Bereavement;:the state or fact of beingbereavedordeprivedof something or someone
holistic,;:of or relating toholism
intellectualization;:to give rational form or content to
sussing;:figure out
chode;
dovetail;:something resembling a dove's tail
progeny;:descendants,children
deductive;:of, relating to, or provable by deriving conclusions by reasoning:of, relating to, or provable by deduction (seedeductionsense 2a)
humming;:to utter a sound like that of the speech sound \m\ prolonged
umbilical;:of, relating to, or used at the navel
emanating;:to come out from a source
exclaimed;:to cry out or speak in strong or sudden emotion
sting;:to prick painfully: such as
assent;:to agree to or approve of something (such as an idea or suggestion) especially afterthoughtfulconsideration:concur
consolidate;:to join together into one whole:unite
barrel;:a round bulging vessel of greater length than breadth that is usually made of staves bound with hoops and has flat ends of equal diameter
aggrandized;:to make great or greater:increase,enlarge
grace;:unmerited divine assistance given to humans for their regeneration or sanctification
poise;:balance
doth;
effeminate;:having feminine qualities untypical of a man:not manly in appearance or manner
epoch.;:an event or a time marked by an event that begins a new period or development
anachronism;:an error in chronology
fairer;:marked by impartiality andhonesty:free from self-interest, prejudice, or favoritism
disposability;:subject to or available fordisposal
solidify;:to makesolid, compact, or hard
gratifying;:giving pleasure or satisfaction:pleasing
spineless;:free fromspines, thorns, or prickles
absolutism;:a political theory thatabsolutepower should be vested in one or more rulers
Bargaining;:an agreement between parties settling what each gives or receives in a transaction between them or what course of action or policy each pursues in respect to the other
Machiavellianism;:the political theory ofMachiavelli
peripherally;:of, relating to, involving, or forming aperipheryor surface part
coopting;:to choose or elect as a member
nookie;:the female partner in sexual intercourse
pontification;:to speak or express opinions in a pompous or dogmatic way
inconsistency;:an instance of beinginconsistent
Pheromonal;:a chemical substance that is usually produced by an animal and serves especially as a stimulus to other individuals of the same species for one or more behavioral responses
shrew;:any of a family (Soricidae) of small chiefly nocturnal insectivores related to the moles and distinguished by a long pointed snout, very small eyes, and short velvety fur
neurotically;:of, relating to, constituting, or affected with neurosis (seeneurosis)
browbeating;:to intimidate ordisconcertby a stern manner or arrogant speech:bully
stoking;:to poke or stir up (a fire, flames, etc.):supply with fuel
stok;
chorus;:a company of singers and dancers in Athenian drama participating in or commenting on the action
recruits;:to fill up the number of with new members:reinforce
concession;:the act or an instance ofconceding(as by granting something as a right, accepting something as true, or acknowledging defeat)
recruit;:to fill up the number of with new members:reinforce
dividend;:an individual share of something distributed: such as
fumble;:to grope for or handle something clumsily or aimlessly
pale;:deficient in color or intensity of color:pallid
contingent;:dependent on orconditionedby something else
pandered;:to act as apander
demise;:death
solipsistic.;:of, relating to, or characterized bysolipsismor extreme egocentricity
perturbed;:troubled in mind:feeling or showing agitation:bothered,upset
fag;:to work hard:toil
ditch;:a long narrowexcavationdug in the earth (as for drainage)
tingles;:to feel a ringing, stinging, prickling, or thrilling sensation
sultry;:very hot and humid:sweltering
sultry;:very hot and humid:sweltering
agonize;:to cause to sufferagony:torture
capitalize;:to write or print with an initial capital or in capitals
pushover;:something accomplished without difficulty:snap
culling;:to select from a group:choose
strumming;:an act, instance, or sound ofstrumming
marching;:a border region:frontier
pounding;:any of various units of mass and weight
proportional;:a number or quantity in aproportion
crouch;:to lower the body stance especially by bending the legs
convicted,;:having beenconvicted
prelude;:an introductory performance, action, or event preceding and preparing for the principal or a more important matter
coquetry,;:a flirtatious act or attitude
operative;:producing an appropriate effect:efficacious
esoteric;:designed for or understood by the speciallyinitiatedalone
coincides;:to occupy the same place in space or time
pander;:to act as apander
culmination;:the action ofculminating
visceral;:felt in or as if in the internal organs of the body:deep
abound;:to be present in large numbers or in great quantity:to be prevalent
euphemistically;:the substitution of anagreeableorinoffensiveexpression for one that may offend or suggest something unpleasant
incentivized;:to provide with anincentive
vision;:the act or power of seeing:sight
fruition;:pleasurable use or possession:enjoyment
anguish;:extreme pain, distress, or anxiety
actualized;:to makeactual:realize
"incensed	t";
detractors;:to diminish the importance, value, or effectiveness of something
relishing;:characteristic flavor
rut;:a periodic and often annually recurring state of certain male animals (such as deer or elk) during which behavior associated with the urge to breed is displayed
commodify;:to turn (something, such as anintrinsicvalue or a work of art) into acommodity
vilerable;
eﬀeminate;
digress.;:to turn aside especially from the main subject of attention or course ofargument
bestow;:to put to use:apply
spar;:a stout pole
subpar;:belowpar: such as
wit;:the ability to relate seemingly disparate things so as to illuminate or amuse
Sneer;:to smile or laugh with facial contortions that express scorn or contempt
shedding;:to rid oneself of temporarily or permanently as superfluous or unwanted
confounded;:confused,perplexed
doubly;:in a twofold manner
triage;:the sorting of and allocation of treatment to patients and especially battle and disaster victims according to a system of priorities designed to maximize the number of survivors
deferred;:withheld for or until a stated time
reeling;:a revolvable device on which something flexible is wound: such as
enamored;:affected by strong feelings of love, admiration, or fascination
allegedly;:accused but not proven or convicted
indoctrinated;:to imbue with a usually partisan or sectarian opinion, point of view, or principle
enfeebling;:to make feeble:deprive of strength
oblivion.;:the fact or condition of not remembering:a state marked by lack of awareness or consciousness
poignant;:painfully affecting the feelings:piercing
crusader;:one who engages in acrusade: such as
denominator;:the part of a fraction that is below the line and that functions as the divisor of the numerator
jeopardy;:exposure to or imminence of death, loss, or injury:danger
estranged;:having lost former closeness and affection:in a state ofalienationfrom a previous close or familial relationship
pilloried;:a device formerly used for publicly punishing offenders consisting of a wooden frame with holes in which the head and hands can be locked
tribalism;:tribalconsciousness and loyalty
blunders.;:to move unsteadily or confusedly
modest;:placing amoderateestimate on one's abilities or worth
delineation;:the act of outlining or representing something with lines or words:the act ofdelineating
rite;:a prescribed form or manner governing the words or actions for a ceremony
confounded;:confused,perplexed
branded;:having abrand name
sullen;:gloomily or resentfully silent or repressed
veer;:to change direction or course
petition;:a formal written request made to an authority or organized body (such as a court)
supplanted;:to supersede (another) especially by force or treachery
long;:extending for a considerable distance
masquerades;:a social gathering of persons wearing masks and often fantastic costumes
ostensibly;:in anostensiblemanner
contenders;:one thatcontends
refrain;:curb,restrain
glean;:to gather grain or other produce left by reapers
behooves;:advantage,profit
discerning;:showinginsightand understanding:discriminating
sparse;:of few and scattered elements
prying;:inquisitive in an annoying, officious, or meddlesome way
preeminence.;:the quality or state of beingpreeminent:superiority
maternal;:of, relating to, belonging to, or characteristic of a mother:motherly
distractingly;:to draw or direct (something, such as someone's attention) to a different object or in different directions at the same time
foist;:to introduce or insert surreptitiously or without warrant
servitude;:a condition in which one lacks liberty especially to determine one's course of action or way of life
beneficiary;:a person or thing that receives help or an advantage from something:one thatbenefitsfrom something
presumptive;:based on probability orpresumption
eunuchs;:a castrated man placed in charge of a harem or employed as a chamberlain in a palace
pariah;:someone or something that is despised or rejected:outcast
salve;:an unctuous adhesive substance for application to wounds or sores
surmountable;:to prevail over:overcome
inauthenticity;:not authentic
suspend;:to debar temporarily especially from a privilege, office, or function
acrimonious;:angry and bitter:caustic, biting, orrancorousespecially in feeling, language, or manner
sputtered;:to spit or squirt from the mouth with explosive sounds
mutilating;:to cut up or alter radically so as to make imperfect
dispensing;:to divide and share out according to a plan:to deal out in portions
compliment;:an expression of esteem, respect, affection, or admiration
fling;:to move in a brusque or headlong manner
meek;:enduring injury with patience and without resentment:mild
celibate,;:of, relating to, or characterized bycelibacy:
hyphenation;:to connect (words) or divide (a word, such as a word at the end of a line of print) with ahyphen
palatable;:agreeable to thepalateor taste
penchant;:a strong and continued inclination
niche;:arecessin a wall especially for a statue
nihilism;:a viewpoint that traditional values and beliefs are unfounded and that existence is senseless and useless
myopically;:affected bymyopia:of, relating to, or exhibiting myopia:nearsighted
teeming;:to become filled to overflowing:abound
deprecated;:to express disapproval of
uninquisitive;
flimsy;:lacking in physical strength or substance
repercussion;:reflection,reverberation
dynamism;:a theory that allphenomena(such as matter or motion) can be explained as manifestations of force (seeforceentry1sense 4)comparemechanism
attuned;:aware of and attentive or responsive to something
axiom;:a statement accepted as true as the basis for argument or inference:postulatesense 1
arbitrary;:existing or coming about seemingly at random or by chance or as acapriciousand unreasonable act of will
curated;:carefully chosen and thoughtfully organized or presented
dallyingly;:in adallyingmanner
lamenting;:to mourn aloud:wail
feckless;:weak,ineffective
accolade;:a mark of acknowledgment:award
superfluous;:exceeding what issufficientor necessary:extra
forage;:food for animals especially when taken by browsing or grazing
blasphemy;:the act of insulting or showing contempt or lack of reverence for God
cede;:to yield or grant typically by treaty
gripped;:to seize or hold firmly
assimilated;:to take into the mind and thoroughly understand
espouses;:marry
gratuitous;:not called for by the circumstances:not necessary, appropriate, or justified:unwarranted
expense;:financial burden or outlay:cost
obsolete;:no longer in use or no longer useful
venerate;:to regard with reverential respect or with admiring deference
grotesque;:a style of decorative art characterized by fanciful or fantastic human and animal forms often interwoven with foliage or similar figures that may distort the natural into absurdity, ugliness, or caricature
spite;:petty ill will or hatred with the disposition to irritate, annoy, or thwart
deprecate;:to express disapproval of
surmountable;:to prevail over:overcome
derogatory;:expressive of a low opinion:disparaging
admonishments;:to indicate duties or obligations to
Aggrandize;:to make great or greater:increase,enlarge
implores;:to make an earnest request to (someone):beg
peg;:a small usually cylindrical pointed or tapered piece (as of wood) used to pin down or fasten things or to fit into or close holes:pin,plug
demographic;:the statistical characteristics of human populations (such as age or income) used especially to identify markets
berated;:to scold or condemn vehemently and at length
retrofit;:to furnish (something, such as a computer, airplane, or building) with new or modified parts or equipment not available or considered necessary at the time of manufacture
conceit;:favorable opinion
misconstrued;:to interpret (something, such as a statement or action) wrongly:misinterpret
impromptu;:made, done, or formed on or as if on the spur of the moment:improvised
crotch;:a pole with a forked end used especially as a prop
assassination;:murder by sudden or secret attack often for political reasons:the act or an instance ofassassinatingsomeone (such as a prominent political leader)
Eligible’;
dumbfounded;:to confound (seeconfoundsense 1) briefly and usually with astonishment
zealots;:azealousperson
implore;:to make an earnest request to (someone):beg
sequestering;:to set apart:segregate
supersedes;:to cause to be set aside
antagonistic;:showing dislike or opposition:marked by or resulting fromantagonism
haphazard;:marked by lack of plan, order, or direction
retaliatory;:to return like for like
pugnaciousness;:having aquarrelsomeor combative nature:truculent
pugnaciousness;:having aquarrelsomeor combative nature:truculent
legitimate;:lawfullybegotten
detractor;:to diminish the importance, value, or effectiveness of something
fidelity,;:the quality or state of beingfaithful
musing;:meditation
revelations;:revelationsense 3
protrude;:to jut out from the surrounding surface or context
protrudes;:to jut out from the surrounding surface or context
introspection;:a reflective looking inward:an examination of one's own thoughts and feelings
recourse;:a turning to someone or something for help or protection
banter;:to speak to or address in a witty and teasing manner
hecklers.;:one whohecklessomeone (such as a performer or speaker) usually by shouting criticisms or insults
brandished;:to shake or wave (something, such as a weapon) menacingly
vilerable;
void;:of no legal force or effect:null
buffoons;:aludicrousfigure:clown
bulwark;:a solid wall-like structure raised for defense:rampart
chink;:a small cleft, slit, or fissure
prenuptial;:made or occurring before marriage
affidavit;:a sworn statement in writing made especially under oath or on affirmation (seeaffirmationsense 2) before an authorizedmagistrateor officer
chaffed;:the seed coverings and other debris separated from the seed in threshing grain
curtailing;:to make less by or as if by cutting off or away some part
preference;:the act ofpreferring:the state of beingpreferred
protracted;:to prolong in time or space:continue
disruptiveness;:disrupting or tending todisruptsome process, activity, condition, etc.:causing or tending to causedisruption
twofold;:having two parts or aspects
magnanimous;:showing or suggesting aloftyand courageous spirit
composure;:a calmness or repose especially of mind, bearing, or appearance:self-possession
mettle;:vigor and strength of spirit or temperament (seetemperamentsense 1a)
inextricable;:forming a maze or tangle from which it is impossible to get free
aggravate;:to make (something) worse, more serious, or more severe:to intensify (something) unpleasantly
"speaks	volumes";
wedded;:to take for wife or husband by a formal ceremony:marry
assimilation;:an act, process, or instance ofassimilating
beset;:to set orstudwith or as if with ornaments
weep;:to express deep sorrow for usually by shedding tears:bewail
hamstrung;:either of two groups of tendons at the back of the human knee
steadfastness;:firmly fixed in place:immovable
dividends;:an individual share of something distributed: such as
depreciates;:to lower in honor or esteem
apprentices;:one bound by indenture (seeindentureentry1sense 1a(3)) to serve another for a prescribed period with a view to learning an art or trade
incensed;:material used to produce a fragrant odor when burned
acquiescing;:to accept, comply, or submit tacitly or passively
disenfranchisement;:todepriveof afranchise, of a legal right, or of some privilege or immunity
apathy;:lack of feeling or emotion:impassiveness
terrestrial;:of or relating to the earth or its inhabitants
redeeming;:serving to offset or compensate for a defect
turmoil;:a state or condition of extreme confusion, agitation, or commotion
affinity;:relationship by marriage
wont;:accustomed,used
cougardom;
harbor;:a place of security and comfort:refuge
despondent;:feeling or showing extreme discouragement,dejection, or depression
revelation;:an act ofrevealingor communicating divine truth
stewarding;:one employed in a large household or estate to manage domestic concerns (such as the supervision of servants, collection of rents, and keeping of accounts)
spontaneity;:the quality or state of beingspontaneous
rigors;:harsh inflexibility in opinion, temper, or judgment:severity
gestating;:to carry in the uterus during pregnancy
apoplectic;:of, relating to, or causingapoplexyorstroke
deference;:respect andesteemdue a superior or an elder
dichotomy;:a division into two especiallymutually exclusiveorcontradictorygroups or entities
incredulous;:unwilling to admit or accept what is offered as true:notcredulous:skeptical
obstinate;:stubbornlyadheringto an opinion, purpose, or course in spite of reason, arguments, or persuasion
odes;:a lyric poem usually marked by exaltation of feeling and style, varying length of line, and complexity of stanza forms
subsumed;:to include or place within something larger or more comprehensive:encompass as a subordinate or component element
deviates;:to stray especially from a standard, principle, or topic
pretense;:a claim made or implied
salacious;:arousing or appealing to sexual desire or imagination
tenaciously;:not easily pulled apart:cohesive
preposterous;:contrary to nature, reason, or common sense:absurd
insubstantial;:not substantial: such as
acquiesce;:to accept, comply, or submit tacitly or passively
inveterate;:confirmed in a habit:habitual
precede;:tosurpassin rank, dignity, or importance
corrupt;:to change from good to bad in morals, manners, or actions
unprecedented;:having noprecedent:novel,unexampled
commensurate;:corresponding in size,extent, amount, or degree:proportionate
premonitions;:previous notice or warning:forewarning
marital;:of or relating to marriage or the married state
affluence;:abundance of property:wealth
oafish;:a stupid person:boob
erroneous;:containing or characterized byerror:mistaken
inversely;:in aninverseorder or manner
transactional;:somethingtransacted
conviction;:the act or process of finding a person guilty of a crime especially in a court of law
constrict;:to make narrow or draw together
precarious;:dependent on chance circumstances, unknown conditions, or uncertain developments
accost;:to approach and speak to (someone) in an often challenging or aggressive way
exasperation;:the state of beingexasperated
concert;:a public performance (as of music or dancing)
attune;:to bring into harmony:tune
sporadic;:occurring occasionally, singly, or in irregular orrandominstances
an object made by a human being, typically an item of cultural or historical interest.;
unwitting;:not knowing:unaware
modicum;:a small portion:a limited quantity
malleable;:capable of beingextendedor shaped by beating with a hammer or by the pressure of rollers
despicable;:deserving to bedespised:so worthless or obnoxious as to rouse moralindignation
badgered;:any of various burrowing mammals (especiallyTaxidea taxusandMeles meles) of theweaselfamily that are widely distributed in the northern hemisphere
advent;:the period beginning four Sundays beforeChristmasand observed by some Christians as a season of prayer and fasting
abdicate;:to renounce a throne, high office, dignity, or function
ostentatiously;:attracting or seeking to attract attention, admiration, or envy often by gaudiness or obviousness:overly elaborate or conspicuous:characterized by, fond of, or evincingostentation
flaunted;:to display or obtrude oneself to public notice
accrue;:to come into existence as a legally enforceable claim
precedent;:priorin time, order, arrangement, or significance
surrogate;:one appointed to act in place of another:deputy
interpretive;:the act or the result ofinterpreting:explanation
extolling;:to praise highly:glorify
virtue.;:conformity to a standard of right:morality
drape;:to cover or adorn with or as if with folds of cloth
abstinence;:the practice ofabstainingfrom something:the practice of not doing or having something that is wanted or enjoyable
cohabiting;:to live together as or as if a married couple
ennobling;:to make noble:elevate
extrapolate;:to predict by projecting past experience or known data
hangup;:a source of mental or emotional difficulty
pragmatism;:apracticalapproach to problems and affairs
flush;:to fly away suddenly
barring;:excluding by exception:excepting
vasectomy;:surgical division or resection of all or part of the vas deferens usually to induce sterility
consensually;:existing or made by mutualconsentwithout an act of writing
belaboring;:to attack verbally
impunity;:exemption or freedom from punishment, harm, or loss
artifact;:a usually simple object (such as a tool or ornament) showing human workmanship or modification as distinguished from a natural object
contingent;:dependent on orconditionedby something else
arbiter;:a person with power to decide a dispute:judge
uncoerced;:not obtained, compelled, or achieved by threat or force:notcoerced
volition,;:the power of choosing or determining:will
invoking;:topetitionfor help or support
endorse;:to write on the back of
begrudging;:said, done, or given reluctantly:grudging
unfettered;:not controlled or restricted:free,unrestrained
revenue;:the total income produced by a given source
